Topic,Count,Name,Representation,Representative_Docs
352,54,352_distance_cgpoint_latitude_longitude,"['distance', 'cgpoint', 'latitude', 'longitude', 'cgpoints', 'points', 'rect', 'calculate', 'cgrect', 'cg']","['distance between two longitude and latitude', 'Calculating distance between two points (Latitude, Longitude)', 'Finding CGPoint by adding into distance of two CGPoints']"
353,54,353_transition_transitions_css_display,"['transition', 'transitions', 'css', 'display', 'none', 'animation', 'css3', 'left', 'right', 'bottom']","['transition with right using css?', 'CSS Transition effect', 'css transition on multiple elements']"
354,54,354_types_equality_type_variable,"['types', 'equality', 'type', 'variable', 'turbofish', 'returnvalue', 'put_back', 'ascriptions', 'typeof', 'type_info']","['Get type of variable', 'Reference equality of value types', 'Equality in Reference Types']"
355,54,355_kotlin_visibility_documentation_butterknife,"['kotlin', 'visibility', 'documentation', 'butterknife', 'modifier', 'unresolved', 'instantiate', 'internal', 'constructors', 'interface']","['What is a Kotlin module?', 'Kotlin file to kotlin class', ""Kotlin: Java can't resolve Kotlin Symbol?""]"
356,54,356_partial_view_mvc_partialview,"['partial', 'view', 'mvc', 'partialview', 'views', 'asp', 'controller', 'net', 'razor', 'passing']","['ASP.NET MVC - Can a Partial View have a controller?', 'Coloring a Partial view in MVC 3', 'partial view c# mvc']"
357,54,357_replace_css_summary_paragraph,"['replace', 'css', 'summary', 'paragraph', 'apply', 'div', 'text', 'details', 'cssstyledeclaration', 'jumbotron']","['How to use CSS to replace text?', 'How can I replace text with CSS?', 'CSS Replace Text']"
358,54,358_foldr_fold_foldl_foldleft,"['foldr', 'fold', 'foldl', 'foldleft', 'foldables', 'foldmap', 'drracket', 'scheme', 'catamorphism', 'folding']","['Define functions with foldl foldr', 'Writing foldl using foldr', 'Haskell - foldl and foldr?']"
359,54,359_properties_attributes_attribute_through,"['properties', 'attributes', 'attribute', 'through', 'getcustomattributes', 'oophp', 'property', 'class', 'iterate', 'iterating']","['How to Loop through all the properties of a Class?', 'Properties in a Class', 'Class and properties attributes']"
360,54,360_varchar_nvarchar_max_increasing,"['varchar', 'nvarchar', 'max', 'increasing', '50', '8000', 'size', 'hit', 'performance', '255']","['Use of varchar(max)', 'Does varchar(max) = varchar?', 'What is the difference between varchar and nvarchar?']"
361,54,361_postgresql_csv_pgsql_pl,"['postgresql', 'csv', 'pgsql', 'pl', 'import', 'export', 'postgres', 'psql', 'sql', 'automating']","['Import CSV table in PostgreSQL', 'How to import CSV file data into a PostgreSQL table', 'How to import CSV file data into a PostgreSQL table']"
362,54,362_exists_directory_folder_path,"['exists', 'directory', 'folder', 'path', 'empty', 'check', 'ruby', 'exist', 'fastlane', 'only_if']","[""How to check if a directory exists and create a new one if it doesn't?"", 'Python: Check if any file exists in a given directory', 'How do I check if a directory exists in Python?']"
363,54,363_ascii_extract_stringr_characters,"['ascii', 'extract', 'stringr', 'characters', 'boundary', 'removes', 'substitute', 'wildcards', 'punctuation', 'unicode']","['Handle ASCII in R', 'Removing extra characters in ascii output of a data.frame using ascii library in R', 'How to remove ascii characters from a string in r']"
364,53,364_splitting_split_delimiters_separators,"['splitting', 'split', 'delimiters', 'separators', 'words', 'word', 'separator', 'separate', 'strings', 'roman']","['Python: Splitting a string into words, saving separators', 'Retain Delimiters when Splitting String', 'Splitting a string to find words between delimiters?']"
365,53,365_closing_tags_xhtml_self,"['closing', 'tags', 'xhtml', 'self', 'tag', 'html5', 'html', 'standards', 'empty', 'major']","['HTML, closing tags is ok?', 'Which tags are can be self closing and which ones must have a closing tag in XHTML 1.0 Strict?', 'jQuery html() and self-closing tags']"
366,53,366_protect_sandboxing_sandbox_untrusted,"['protect', 'sandboxing', 'sandbox', 'untrusted', 'hiding', 'source', 'obfuscate', 'unreadable', 'protection', 'users']","['Hide/protect Python code', 'Best way to protect file python?', 'How to protect Python source code?']"
367,53,367_jersey_jax_rs_pathparam,"['jersey', 'jax', 'rs', 'pathparam', 'slashes', 'queryparam', 'rest', 'restful', 'tomcat', 'client']","['What difference between Jersey vs jax-rs', 'Why use JAX-RS / Jersey?', 'JERSEY and JAX-RS']"
368,53,368_void_assignable_undefined_0x1000,"['void', 'assignable', 'undefined', '0x1000', 'absurd', 'strictnullchecks', 'someint', 'typescript', 'ought', 'reaches']","['What does C expression ((void(*)(void))0)(); mean?', 'Why use void with a function?', 'What is void[]?']"
369,53,369_clang_cv_14_17,"['clang', 'cv', '14', '17', 'qualifiers', 'unqualified', 'variant', 'compiler', 'warn', 'structured']","['C++17 std::variant header file (clang 6.0.0)', 'How to resolve the following clang error that I am getting in C++', 'Why does Clang not allow ""and"" as function name?']"
370,53,370_day_weekday_monday_week,"['day', 'weekday', 'monday', 'week', 'tuesday', 'sunday', 'date', 'today', 'nscalendar', 'weekends']","['How do I get the day of week given a date?', 'Get the day of week given a date', 'Get Day of the week from Date PHP']"
371,53,371_email_regular_addresses_validate,"['email', 'regular', 'addresses', 'validate', 'validating', 'validation', 'regex', 'specfic', 'address', 'validator']","['Regular expression for valid email address?', 'Valid email address regular expression?', 'Valid email address regular expression?']"
372,53,372_href_hyperlink_attribute_link,"['href', 'hyperlink', 'attribute', 'link', 'links', 'jquery', 'change', 'anchors', 'superfish', 'relatively']","['Change href attribute using jquery', 'href inside href', 'How to change ""href"" attribute of link has specific ""href"" using jQuery?']"
373,52,373_protocol_conform_swift_subclass,"['protocol', 'conform', 'swift', 'subclass', 'protocols', 'superclass', 'conformance', 'conforms', 'satisfied', 'override']","['Class conforming to protocol as function parameter in Swift Error', 'Class conforming to protocol as function parameter in Swift', ""Swift class doesn't conform to objective c protocol inherited from swift protocol""]"
374,52,374_keypress_pressed_enter_press,"['keypress', 'pressed', 'enter', 'press', 'keydown', 'event', 'detect', 'trigger', 'detecting', 'hit']","['jQuery Event Keypress: Which key was pressed?', 'jQuery Event Keypress: Which key was pressed? A-Z, & @', 'jQuery Event Keypress: Which key was pressed?']"
375,52,375_global_globals_variables_defining,"['global', 'globals', 'variables', 'defining', 'variable', 'intstance', 'ecb', 'gained', 'kmycustomname', 'kmyothercustomname']","['How to use a global variable in a function?', 'How to use a global variable in a function?', 'How to use a global variable in a function?']"
376,52,376_scala_classof_classname_analog,"['scala', 'classof', 'classname', 'analog', 'foo', 'someclassortrait', 'comonads', 'classes', 'class', 'generalizing']","['Difference between object and class in Scala', 'Get a class from a type scala', 'Scala and the :: object']"
377,52,377_const_reference_temporary_pointer,"['const', 'reference', 'temporary', 'pointer', 'char', 'pointers', 'passing', 'discards', 'prolong', '195']","['What is the ""const operator"" in C++?', 'C++ const function with reference', 'const values in C']"
378,52,378_namespace_directives_namespaces_std,"['namespace', 'directives', 'namespaces', 'std', 'problem', 'ban', 'pended', 'agree', 'companyname', 'foo']","['What is Python\'s ""Namespace"" object?', 'namespace in c++', 'using namespace in c++']"
379,52,379_console_log_printed_node,"['console', 'log', 'printed', 'node', 'prints', 'mocha', 'truncates', 'object', 'every', 'outputing']","['Javascript: console.log to html', 'Why does console.log() output [object Object] in JavaScript?', 'Console.log output in javascript']"
380,52,380_swift_generic_constraints_generics,"['swift', 'generic', 'constraints', 'generics', 'type', 'anyclass', 'instance', 'verify', 'constrained', 'puzzle']","['how to check the type of a variable in swift', 'how to check the type of a variable in swift', 'Swift check type of object']"
381,52,381_version_numbers_versioning_ver,"['version', 'numbers', 'versioning', 'ver', 'increment', 'autoincrement', '2017', 'correct', 'auto', 'sourceversion']","['What are the correct version numbers for C#?', 'What are the correct version numbers for C#?', 'What are the correct version numbers for C#?']"
382,51,382_global_scope_undefined_somevariable,"['global', 'scope', 'undefined', 'somevariable', 'variable', 'syntaxes', 'declared', 'javascript', 'variables', 'declaration']","['Global variables are undefined within function scope', 'Global variable undefined - scope issue', 'Global scope, variable outside function Javascript']"
383,51,383_sizeof_size_c99_name_of_struct,"['sizeof', 'size', 'c99', 'name_of_struct', 'declaring', 'c11', 'struct', 'vlas', 'structname', 'aversion']","['sizeof array elements in C', 'Difference in sizeof between a = [0] and a = [i for i in range(1)]', 'Array size without sizeof operator']"
384,51,384_preload_preloading_images_loaded,"['preload', 'preloading', 'images', 'loaded', 'loading', 'image', 'finished', 'load', 'fully', 'uploaded']","['Preload images using jquery', 'jquery preload images', 'preload images using jQuery']"
385,51,385_ggplot_scales_plot_ggplot2,"['ggplot', 'scales', 'plot', 'ggplot2', 'graphs', 'axis', 'graph', 'axes', 'plots', 'par']","['multiple graphs in one plot ggplot', 'Plot with ggplot a graph with two y scales', 'R, ggplot - Graphs sharing the same y-axis but with different x-axis scales']"
386,51,386_odata_rest_soap_wsdl,"['odata', 'rest', 'soap', 'wsdl', 'services', 'restful', 'web', 'wadl', 'microsoft', 'api']","['What is the difference between SOAP web-services and an OData service?', 'oData, REST and Web API in asp.net', 'Difference between OData and REST web services']"
387,51,387_singleton_pattern_isuseragoat_usermanager,"['singleton', 'pattern', 'isuseragoat', 'usermanager', 'static', 'drawbacks', 'disadvantages', 'instance', 'skeet', 'intialize']","['Difference between singleton class and static class?', 'Is a static class a singleton?', 'static class vs singleton class']"
388,51,388_delegate_delegates_func_delegation,"['delegate', 'delegates', 'func', 'delegation', 'objective', 'predicate', 'servicecollection', 'kindly', 'usefulness', 'step']","['How EXACTLY do I use a class that has a delegate in it', 'Delegate - How to Use?', 'Adding multiple delegates to Func<T> and returning result of first lambda delegate (C#)?']"
389,51,389_floating_point_fixed_representation,"['floating', 'point', 'fixed', 'representation', 'float', 'ieee', 'floats', '2345f', 'ieee754', '754']","['C/C++ floating point issue', 'Exactly how is fixed point more accurate than floating point', 'Fixed point vs Floating point number']"
390,51,390_promise_bluebird_chain_catch,"['promise', 'bluebird', 'chain', 'catch', 'chaining', 'rejection', 'chains', 'angularjs', 'rejected', 'es6']","['AngularJS promise chain', 'How to chain promise', 'Bluebird promise.all catch in mid promise chain and continue with promise']"
391,50,391_undefined_null_empty_checking,"['undefined', 'null', 'empty', 'checking', 'check', 'javascript', 'false', 'unassigned', 'neither', 'blank']","['How do I check for an empty/undefined/null string in JavaScript?', 'How do I check for an empty/undefined/null string in JavaScript?', 'How do I check for an empty/undefined/null string in JavaScript?']"
392,50,392_case_insensitive_sensitive_statement,"['case', 'insensitive', 'sensitive', 'statement', 'unique', 'select', 'mysql', 'sql', 'search', 'accentuation']","['Is there any way to make a UNIQUE index case insensitive in Mysql 5.1.x ?', 'MySQL Like statement not case-insensitive by default', 'MySQL table with Case Insensitive Select and Unique Index']"
393,50,393_utf_8859_iso_encoding,"['utf', '8859', 'iso', 'encoding', 'latin1', 'utf8', 'utf8_unicode_ci', 'utf8_general_ci', 'bom', 'latin']","['Handling utf-8 strings in Java', 'Convert UTF-8 to String', 'Convert any String to UTF-8 format']"
394,50,394_findall_regex_matches_regular,"['findall', 'regex', 'matches', 'regular', 'expressions', 'search', 'accent', 'matching', 're', 'alphabet']","['python - regex search and findall', 'Python regex get all matches all with findall', 'Python Regular Expressions Findall']"
395,49,395_indent_pep8_indentation_indented,"['indent', 'pep8', 'indentation', 'indented', 'continuation', 'e128', 'pep', 'indentationerror', 'unindent', 'indents']","['How to ignore pep8 E128: continuation line under-indented for visual indent in Sublime Text', 'PEP8: continuation line over-indented for visual indent', ""What is PEP8's E128: continuation line under-indented for visual indent?""]"
396,49,396_spring_requestbody_responsebody_mvc,"['spring', 'requestbody', 'responsebody', 'mvc', 'clarify', 'controller', 'bean', 'post', 'rest', 'requestmapping']","['Spring MVC how @RequestBody works', 'Spring MVC Post Request', '@RequestBody and @ResponseBody annotations in Spring']"
397,49,397_overloading_operator_unary_advice,"['overloading', 'operator', 'unary', 'advice', 'minus', 'overload', 'explanation', 'unqualified', 'mutator', 'mul']","['c++ Operator overloading,', 'c++ Operator overloading,', 'c++ Operator overloading,']"
